column,category,severity,description,correlation_with_target
final_decision,target_derived,ERROR,Column 'final_decision' is the target variable 'final_decision'. Including the target as a feature is a direct leakage violation and will produce a degenerate model.,
priority,target_derived,ERROR,Column 'priority' is a supervisor-output label that is derived from or co-determined with the final_decision target. It must not be used as a model input feature.,
maintenance_urgency,target_derived,ERROR,Column 'maintenance_urgency' is a supervisor-output label that is derived from or co-determined with the final_decision target. It must not be used as a model input feature.,
requires_human_review,target_derived,ERROR,Column 'requires_human_review' is a supervisor-output label that is derived from or co-determined with the final_decision target. It must not be used as a model input feature.,
supervisor_score,target_derived,ERROR,Column 'supervisor_score' is a supervisor-output label that is derived from or co-determined with the final_decision target. It must not be used as a model input feature.,
rul_model_used,model_trace_feature,WARNING,Column 'rul_model_used' is a model-trace string that identifies which upstream model produced the prediction. Using it as a feature can cause silent deployment failures if the upstream model changes. Review whether this column should be excluded.,
risk_model_used,model_trace_feature,WARNING,Column 'risk_model_used' is a model-trace string that identifies which upstream model produced the prediction. Using it as a feature can cause silent deployment failures if the upstream model changes. Review whether this column should be excluded.,
anomaly_model_used,model_trace_feature,WARNING,Column 'anomaly_model_used' is a model-trace string that identifies which upstream model produced the prediction. Using it as a feature can cause silent deployment failures if the upstream model changes. Review whether this column should be excluded.,
schema_version,constant_column,WARNING,Column 'schema_version' has near-zero variance (var=0.00e+00). Unique non-null values: [np.float64(1.0)]. A constant column provides no information to a model and may indicate an imputation or generation error.,
threshold_10,constant_column,WARNING,Column 'threshold_10' has near-zero variance (var=0.00e+00). Unique non-null values: [np.float64(0.5)]. A constant column provides no information to a model and may indicate an imputation or generation error.,
threshold_30,constant_column,WARNING,Column 'threshold_30' has near-zero variance (var=0.00e+00). Unique non-null values: [np.float64(0.5)]. A constant column provides no information to a model and may indicate an imputation or generation error.,
threshold_50,constant_column,WARNING,Column 'threshold_50' has near-zero variance (var=0.00e+00). Unique non-null values: [np.float64(0.5)]. A constant column provides no information to a model and may indicate an imputation or generation error.,
anomaly_threshold,constant_column,WARNING,Column 'anomaly_threshold' has near-zero variance (var=1.23e-32). Unique non-null values: [np.float64(0.6)]. A constant column provides no information to a model and may indicate an imputation or generation error.,
risk_monotonic,constant_column,WARNING,Column 'risk_monotonic' has near-zero variance (var=0.00e+00). Unique non-null values: [np.int64(1)]. A constant column provides no information to a model and may indicate an imputation or generation error.,
risk_threshold_mean,constant_column,WARNING,Column 'risk_threshold_mean' has near-zero variance (var=0.00e+00). Unique non-null values: [np.float64(0.5)]. A constant column provides no information to a model and may indicate an imputation or generation error.,
